egoid,usetobacco_6,usebeer_6,usewine_6,usedrugs_6,usedrugs_prescr_6,usecaffine_6
44869,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
43516,,,,,,
89411,,,,,,
74285,,,,,,
56527,,,,,,
16819,,,,,,
34591,,,,,,
89972,,,,,,
92552,1-2 times a week,Not at all,Not at all,Not at all,Not at all,Three times a week or more
73158,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
45963,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
22138,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
90136,,,,,,
46744,,,,,,
77941,Less than 1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Three times a week or more,Three times a week or more
44873,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week
36540,,,,,,
14527,,,,,,
83005,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
31439,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
21899,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
29232,,,,,,
32249,,,,,,
45375,,,,,,
25536,,,,,,
32037,,,,,,
90476,,,,,,
46558,Not at all,1-2 times a week,Not at all,Not at all,Not at all,Not at all
24016,,,,,,
52277,,,,,,
93699,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
36875,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
84011,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
90646,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
88008,Less than 1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
88967,,,,,,
46701,,,,,,
83566,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week
21090,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
69419,,,,,,
87032,,,,,,
94641,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
82728,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
45076,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Not at all
58437,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Not at all,Three times a week or more
94862,,,,,,
14606,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
64075,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a month
39787,,,,,,
82376,,,,,,
44872,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
87783,,,,,,
22199,,,,,,
47498,,,,,,
57325,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
53776,,,,,,
58633,,,,,,
27306,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
80607,,,,,,
73143,,,,,,
35797,,,,,,
46365,1-2 times a week,Three times a week or more,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Three times a week or more
30596,,,,,,
31045,,,,,,
74492,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
76791,,,,,,
21348,,,,,,
23287,,,,,,
14763,,,,,,
22066,,,,,,
64058,,,,,,
28247,,,,,,
72873,,,,,,
67544,,,,,,
76810,,,,,,
51760,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
72806,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
98766,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
23042,,,,,,
60997,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Not at all
36038,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
39146,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
60963,,,,,,
67918,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
34467,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
42132,,,,,,
41268,,,,,,
90692,,,,,,
32668,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
24079,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
59673,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
74899,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
48891,,,,,,
81807,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
77187,,,,,,
91176,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
22292,,,,,,
