egoid,usetobacco_4,usebeer_4,usewine_4,usedrugs_4,usedrugs_prescr_4,usecaffine_4
44869,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month
43516,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
89411,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
74285,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
56527,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
16819,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
34591,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
89972,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
92552,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
73158,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
45963,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
22138,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
90136,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46744,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
77941,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
44873,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
36540,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
83005,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
31439,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
21899,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
29232,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
32249,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
45375,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
25536,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
32037,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46558,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all
24016,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
52277,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
93699,Not at all,1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
36875,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
84011,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Not at all
90646,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
88008,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
88967,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46701,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
83566,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
21090,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
69419,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
87032,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
94641,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
82728,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
45076,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
58437,Three times a week or more,Not at all,Not at all,Not at all,Not at all,Three times a week or more
94862,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
14606,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
64075,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
39787,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
82376,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
44872,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
87783,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
47498,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
57325,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
53776,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
58633,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
27306,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
80607,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
73143,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
35797,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
46365,Less than 1-2 times a month,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
31045,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
74492,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
76791,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
21348,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
23287,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
14763,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
22066,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
28247,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
72873,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
67544,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
76810,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
51760,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,1-2 times a month
72806,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
98766,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
60997,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,1-2 times a week
36038,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
39146,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
60963,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
67918,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
34467,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
42132,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
32668,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
24079,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
59673,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
74899,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
48891,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
81807,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
77187,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
91176,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
35011,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
60903,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
35416,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
89710,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
97596,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
39129,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
57359,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
17308,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
51851,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
35855,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
67334,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
60230,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
77838,Not at all,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
57292,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
66406,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
56798,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
23115,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
77872,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
43114,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
72348,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
45776,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
63122,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
27169,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
89607,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Not at all
59900,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
28254,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
56480,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
11128,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
47886,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
28820,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
35347,Not at all,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,Three times a week or more
45641,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more
64572,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
31538,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
73452,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
51475,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
28312,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
13486,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
56805,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
57697,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
54837,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
29718,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
26800,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
52051,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
30972,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
47142,Not at all,Not at all,Not at all,Not at all,Not at all,Three times a week or more
69217,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
69009,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
84390,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
74845,1-2 times a week,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all,1-2 times a month
90905,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
39659,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
60396,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
61084,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
92412,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
92038,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
33388,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Less than 1-2 times a month
31717,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
86440,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
95585,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
29792,Not at all,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
14737,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week
